index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link
120,22-Jun-2011,Estudio de la influencia del período de muestreo en el comportamiento de un sistema de regulación PID digital para el control de flujo.,"Mora Z., Franklin A.; Vergara V., Luis E.",1.66 MB,http://saber.ucv.ve/handle/10872/196,http://saber.ucv.ve/bitstream/10872/196/1/TESIS%20TOTAL%20A%20ENTREGAR%20CD.pdf
121,22-Jun-2011,Diseño de una base de datos y software como insumo para el manual de ingeniería de producción de la Escuela de Petróleo de la Universidad Central de Venezuela: Fase II,"Pérez H., Juan J.; Vega A., Felix E.",8.91 MB,http://saber.ucv.ve/handle/10872/204,http://saber.ucv.ve/bitstream/10872/204/1/DISE%c3%91O1.PDF
122,23-Jun-2011,Modelaje geofísico integrado de la región central de Venezuela por medio del análisis de flexión de placas en la sección 66º00’00’’W,"Reyes, Janckarlos",4.6 MB,http://saber.ucv.ve/handle/10872/219,http://saber.ucv.ve/bitstream/10872/219/1/TEG_Janckarlos%20K%20Reyes.pdf
123,23-Jun-2011,"Elaboración de un método de evaluación del sistema de control de sólidos, basado en una nueva definición de los objetivos funcionales de los equipos y en un nuevo concepto de eficiencia","Quirós L., Fermín A.",12.7 MB,http://saber.ucv.ve/handle/10872/215,http://saber.ucv.ve/bitstream/10872/215/1/TRABAJ~3.PDF
124,23-Jun-2011,Metodología estándar para estimar los puntos de corte y rendimientos en las unidades de destilación del circuito refinador venezolano,"Ruiz C., Luis A.",1.13 MB,http://saber.ucv.ve/handle/10872/229,http://saber.ucv.ve/bitstream/10872/229/1/Trabajo%20Especial%20de%20Grado%20Luis%20Ruiz.pdf
125,23-Jun-2011,Estudio de las alternativas para la disminución del contenido de fósforo en los efluentes industriales de la Cervecería Polar los Cortijos,"Santana C., Luis F.",3.11 MB,http://saber.ucv.ve/handle/10872/235,http://saber.ucv.ve/bitstream/10872/235/1/Luis%20Santana%28Tesis%20de%20Grado%29.pdf
126,23-Jun-2011,Diseño y Simulación de Plantas de Tratamiento de Aguas Bajo Ambiente Windows,"Sánchez U., Fernando",1.64 MB,http://saber.ucv.ve/handle/10872/234,http://saber.ucv.ve/bitstream/10872/234/1/TEG%20-%20Fernando%20S%c3%a1nchez.pdf
127,23-Jun-2011,Estudio del mantenimiento de los equipos críticos de un sistema de deshidratación de gas natural (basado en MCC),"Rodríguez L., Miguel A.",4.85 MB,http://saber.ucv.ve/handle/10872/224,http://saber.ucv.ve/bitstream/10872/224/1/Tesis.PDF
128,23-Jun-2011,Estudio experimental del efecto de la interferencia sobre el comportamiento de una bomba de cavidad progresiva de estator rígido.,"Sánchez M., Carlos A.",1.51 MB,http://saber.ucv.ve/handle/10872/233,http://saber.ucv.ve/bitstream/10872/233/1/Tesis.pdf
129,23-Jun-2011,Metodología para la determinación del tensor de permeabilidad en yacimientos naturalmente fracturados,"Reyes, Jesús A.",4.7 MB,http://saber.ucv.ve/handle/10872/218,http://saber.ucv.ve/bitstream/10872/218/1/TRABAJO%20ESPECIAL%20DE%20GRADO_JESUS%20REYES.pdf
130,23-Jun-2011,Evaluación del producto FR-021M como agente de control del filtrado en fluidos de perforación base agua,"Rodríguez P., Franklig R.",2.36 MB,http://saber.ucv.ve/handle/10872/223,http://saber.ucv.ve/bitstream/10872/223/1/TesisF.pdf
131,23-Jun-2011,Estudio de los efectos del revoque en la transmisión de fluidos a través de empaques de grava,"Carvajal M., Arturo; Rossetti R., Claudio E.",3.58 MB,http://saber.ucv.ve/handle/10872/228,http://saber.ucv.ve/bitstream/10872/228/1/Trabajo%20Final.pdf
