,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
24,2897,2014-12-08,Proposición de un protocolo para el manejo y manipulación de los desechos generados en la facultad de ciencias.,"Agatón, Sandra",2.61 MB,http://saber.ucv.ve/handle/10872/7884,http://saber.ucv.ve/bitstream/10872/7884/1/Tesis%20Sandra%20Agat%c3%b3n.pdf,,thesis_pdf_all/2897.pdf,True,True,False,escuela de quimica,Escuela de Química,Jesucristo
25,2899,2014-12-08,"Estudio de los complejos de vanadio (III) con aminoácidos. SISTEMA H+ - V 3+ - ácido glutámico (KCl 3.0 M, 25 °C)","Palma, Clara",2.16 MB,http://saber.ucv.ve/handle/10872/7889,http://saber.ucv.ve/bitstream/10872/7889/1/Tesis%20Clara%20del%20Valle%20Palma.pdf,,thesis_pdf_all/2899.pdf,True,True,False,escuela de quimica,Escuela de Química,Felipe Brito
26,2913,2014-12-10,"Estudio de los compplejos de vanadio (III) y prolina por medio de medidas de fuerzas electromotrices, emf(H) (KCl 3.0 M, 25 °C)","Siu Hung, Loy",746.06 kB,http://saber.ucv.ve/handle/10872/7926,http://saber.ucv.ve/bitstream/10872/7926/1/Tesis%20Siu%20Hung%20Loy.pdf,,thesis_pdf_all/2913.pdf,True,True,False,escuela de quimica,Escuela de Química,Mary Lorena Araujo
27,2935,2014-12-17,“Síntesis y Caracterización de Agregados Metálicos de los Grupos 7 y 8 con Terbutildialilfosfina y Dialilfenilfosfina”.,"Rojas, Jennifer",1.73 MB,http://saber.ucv.ve/handle/10872/8023,http://saber.ucv.ve/bitstream/10872/8023/1/Tesis%20%20Jennifer%20Rojas.pdf,,thesis_pdf_all/2935.pdf,True,True,False,escuela de quimica,Escuela de Química,Ruben Machado
28,2944,2015-01-13,Estudio del contenido de metales pesados en aguas y peces del embalse Suata-Edo. Aragua,"Aru, Raimundo J.",1.4 MB,http://saber.ucv.ve/handle/10872/8041,http://saber.ucv.ve/bitstream/10872/8041/1/Tesis%20%20Raimundo%20Aru.pdf,,thesis_pdf_all/2944.pdf,True,True,False,escuela de quimica,Escuela de Química,DRA
29,2915,2014-12-10,Desarrollo de un sensor basado en nanopartículas de oro para la detección de mercurio (II) en disoluciones acuosas,"La Cruz, Marie A.",1.42 MB,http://saber.ucv.ve/handle/10872/7923,http://saber.ucv.ve/bitstream/10872/7923/1/Tesis%20Marie%20A.%20La%20Cruz.pdf,,thesis_pdf_all/2915.pdf,True,True,False,escuela de quimica,Escuela de Química,Jimmy Castillo
30,1,2009-01-01,Estudio de sobretensiones por maniobra debido a energización de bancos de condensadores y transformadores en líneas de transmisión de 115kV,"De Gregorio S., Luis T.",6.77 MB,http://saber.ucv.ve/handle/10872/17712,http://saber.ucv.ve/bitstream/10872/17712/1/TESIS%20DE%20GRADO%20LUIS%20DE%20GREGORIO.pdf,,thesis_pdf_all/1.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Julio Molina
31,512,2011-11-07,Desarrollo de un sistema de control para mantener la velocidad tangencial de un carrete de enrollado de textiles,"El Masri E., Sharif",2.37 MB,http://saber.ucv.ve/handle/10872/721,http://saber.ucv.ve/bitstream/10872/721/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/512.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Tamara Perez
32,513,2011-11-07,Estudio de factibilidad técnica y económica para la implantación de telefonía IP en las subestaciones de La Electricidad de Caracas C.A,"Escalona C., Javier A.",807.43 kB,http://saber.ucv.ve/handle/10872/722,http://saber.ucv.ve/bitstream/10872/722/1/TEG%20Javier%20Escalona%202007.pdf,,thesis_pdf_all/513.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Dan El Montoya
33,514,2011-11-07,"Estudio de planificación a corto plazo de las S/Es Luis Caraballo, Eleggua y Casarapa","Flores C., Julide D.",1.24 MB,http://saber.ucv.ve/handle/10872/723,http://saber.ucv.ve/bitstream/10872/723/1/Estudio%20de%20Planificacion%20a%20corto%20plazo%20de%20las%20SEs%20Luis%20Carab.pdf,,thesis_pdf_all/514.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Vanesa Carlson
34,515,2011-11-07,"Análisis de la factibilidad técnica para manejar de forma centralizada, la mensajería de los servicios de red inteligente, de la empresa CANTV","García-Flores P., Ricardo",3.61 MB,http://saber.ucv.ve/handle/10872/724,http://saber.ucv.ve/bitstream/10872/724/1/Tomo%20final%20Ricardo%20Garc%c3%ada%20Flores.pdf,,thesis_pdf_all/515.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carlos Fuenmayor
35,516,2011-11-07,Elaboración de una propuesta de protocolo de seguimiento de fallas para el centro de operaciones de la red de Movilnet,"Guerra B., Johenny del C.",1.5 MB,http://saber.ucv.ve/handle/10872/725,http://saber.ucv.ve/bitstream/10872/725/1/propuesta%20de%20protocolo.pdf,,thesis_pdf_all/516.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Jorge Guerrero
36,517,2011-11-07,Evaluación de la calidad del servicio eléctrico y coordinación de protecciones en las edificaciones norte 1 y norte 3de PDVSA INTEVEP,"Hernández M., Germán R",1.56 MB,http://saber.ucv.ve/handle/10872/726,http://saber.ucv.ve/bitstream/10872/726/1/TESIS.pdf,,thesis_pdf_all/517.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nerio Ojeda
37,518,2011-11-07,Diseño de la plataforma para transmisión de señal abierta del canal de televisión de la Asamblea Nacional (ANTV) en el área Metropolitana,"Higuera P., Miguel E.",2.87 MB,http://saber.ucv.ve/handle/10872/727,http://saber.ucv.ve/bitstream/10872/727/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/518.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Zeldivar Bruzual
38,519,2011-11-07,"Implementación y desarrollo de un sistema de medición de flujo, compresibilida y y densidad de gas multicomponente en un procesador ARM y un microcontrolador","Huizi U., Rosalía A.; Verde I., José I.",3.79 MB,http://saber.ucv.ve/handle/10872/728,http://saber.ucv.ve/bitstream/10872/728/1/Trabajo%20Especial%20de%20Grado.pdf,,thesis_pdf_all/519.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Pedro Bortot
