,index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,dates
33,5961,2017-10-05,"Desarrollo del protocolo de recalibración de los inspectores de botellas vacías para distintos tipos de envases de la Cervecería Polar, Planta Los Cortijos.","Ortiz D., César A.",13.87 MB,http://saber.ucv.ve/handle/10872/16617,http://saber.ucv.ve/bitstream/10872/16617/1/TEG%20Ortiz%20D.C%c3%a9sar%20A..pdf,,thesis_pdf_all/5961.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
34,5960,2017-10-05,"Estudio de coordinación del sistema de protecciones asociados al circuito de distribución A4 de la subestación Eleggua 12,47 kV","Revetti R., Rogelio R.",3.58 MB,http://saber.ucv.ve/handle/10872/16613,http://saber.ucv.ve/bitstream/10872/16613/1/TEG%20Revetti%20R.%2c%20Rogelio%20R..pdf,,thesis_pdf_all/5960.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
35,5959,2017-10-05,"Estudio de los niveles de aislamiento en los motores para tracción y del grupo motor alternador, de la C.A. Metro de Caracas","Vespa Aparicio, Giovanny",8.47 MB,http://saber.ucv.ve/handle/10872/16610,http://saber.ucv.ve/bitstream/10872/16610/1/TEG%20Vespa%20Aparicio%2c%20Giovanny.pdf,,thesis_pdf_all/5959.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
36,5956,2017-10-05,Desarrollo de un modelo computacional para un sistema de reconocimiento de matrículas a través de una imagen proveniente de una cámara de tráfico,"Fernández, Arcadio",9.35 MB,http://saber.ucv.ve/handle/10872/16626,http://saber.ucv.ve/bitstream/10872/16626/1/TEG%20Arcadio%20Fern%c3%a1ndez.pdf,,thesis_pdf_all/5956.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-10-05
37,5883,2017-09-22,Formación de partículas mediante el método de descarga pulsada en alambres,"Delgado De Pasquale, Antonio",15.67 MB,http://saber.ucv.ve/handle/10872/16434,http://saber.ucv.ve/bitstream/10872/16434/1/T.E.G.%20Antonio%20Delgado.pdf,,thesis_pdf_all/5883.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-09-22
38,4672,2017-01-23,Simulación y estudio de redes vehiculares de frecuencias múltiples,"Rojas M., Corina G.",8.87 MB,http://saber.ucv.ve/handle/10872/14100,http://saber.ucv.ve/bitstream/10872/14100/1/TEGCorinaRojas.pdf,,thesis_pdf_all/4672.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-23
39,4701,2017-01-27,Actualización de la plataforma tecnológica de centrales PBX Alcatel de Cemex Venezuela con implementación de telefonía IP,"Vivas L., Jennifer A.",2.33 MB,http://saber.ucv.ve/handle/10872/14161,http://saber.ucv.ve/bitstream/10872/14161/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/4701.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-27
40,4700,2017-01-27,"Propuesta de migración del flujo de trabajo basado en cintas, a un sistema que se apoye en el intercambio de archivos, mediante la integración de la plataforma AV/IT para meridiano televisión","Pazos D., Andres.",3.05 MB,http://saber.ucv.ve/handle/10872/14167,http://saber.ucv.ve/bitstream/10872/14167/1/T.E.G.%20completo%20Pazos%20D.%2c%20Andres..pdf,,thesis_pdf_all/4700.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-27
41,4699,2017-01-26,Desarrollo de un método no convencional para la medición de la impedancia de puesta a tierra en el dominio de la frecuencia,"González G., Angel A.",1.57 MB,http://saber.ucv.ve/handle/10872/14159,http://saber.ucv.ve/bitstream/10872/14159/1/Tesis.pdf,,thesis_pdf_all/4699.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-26
42,4697,2017-01-26,Integración de las plataformas de tecnologías de información y comunicación (TIC) del Centro de Análisis de Imágenes Biomédicas e Informática Médica de la Facultad de Medicina para implementar aplicaciones de telemedicina y teleeducación,"Chacón, Gabriel A.",2.58 MB,http://saber.ucv.ve/handle/10872/14160,http://saber.ucv.ve/bitstream/10872/14160/1/TEG%20Gabriel%20Chac%c3%b3n.pdf,,thesis_pdf_all/4697.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-26
43,4696,2017-01-25,Ampliación de la red de fibra óptica y multiplexores de la empresa Movistar en la Gran Caracas con la selección de nuevos nodos de instalación de equipos Alcatel-Lucent,"Rangel R., Allan E.",4.87 MB,http://saber.ucv.ve/handle/10872/14126,http://saber.ucv.ve/bitstream/10872/14126/1/TEG.pdf,,thesis_pdf_all/4696.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
44,4695,2017-01-25,"Diseño de un sistema de generación fotovoltaico para el área administrativa, comedor, estacionamiento y vías de acceso de una industria nacional","Alarcón M, Edward O.,",3.65 MB,http://saber.ucv.ve/handle/10872/14141,http://saber.ucv.ve/bitstream/10872/14141/1/T.E.G.%20completo%20Edward%20O.%2c%20Alarc%c3%b3n%20M..pdf,,thesis_pdf_all/4695.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
45,4694,2017-01-25,Desarrollo de un software para el cálculo de sistemas de puesta a tierra por el método de los elementos de fronteras,"Ramírez Z., Lucy M.",6.22 MB,http://saber.ucv.ve/handle/10872/14145,http://saber.ucv.ve/bitstream/10872/14145/1/T.E.G.%20completo%20Ram%c3%adrez%20Z.%2c%20Lucy%20M..pdf,,thesis_pdf_all/4694.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
46,4693,2017-01-25,Diseño e implementación de una interfaz de seguridad para el control de accesibilidad de un ascensor,"Gil A., Elis R.",2.32 MB,http://saber.ucv.ve/handle/10872/14129,http://saber.ucv.ve/bitstream/10872/14129/1/T.E.G.%20completo%20Gil%20A.%2c%20Elis%20R..pdf,,thesis_pdf_all/4693.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
47,4692,2017-01-25,Diseño de demostrador back-end para nuevo sistema radar de navegación,"Guerrero G., Gabriel G.",8.85 MB,http://saber.ucv.ve/handle/10872/14133,http://saber.ucv.ve/bitstream/10872/14133/1/T.E.G%20completo%20Guerrero%20G.%2c%20Gabriel%20G..pdf,,thesis_pdf_all/4692.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
48,4691,2017-01-25,"Estudio de planificación a corto y a mediano plazo de la S/E´s de distribución: S/E Carayaca en 12,47kV, S/E Longa España en 12,47kV y S/E la Sabana en 8,3kV de CORPOELEC, región Vargas","López F., Félix D.",12.4 MB,http://saber.ucv.ve/handle/10872/14136,http://saber.ucv.ve/bitstream/10872/14136/1/T.E.G.%20completo%20F%c3%a9lix%20D.%20L%c3%b3pez%20F..pdf,,thesis_pdf_all/4691.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
49,4690,2017-01-25,"Selección de dispositivos lógicos programables del tipo “Field Programmable Gate Array” y de la plataforma de soporte, para ser utilizados en las actividades de docencia, investigación y desarrollo de la Escuela de Ingeniería Eléctrica","Bertsch S., Antonio J.",1.95 MB,http://saber.ucv.ve/handle/10872/14137,http://saber.ucv.ve/bitstream/10872/14137/1/T.E.G.%20completo%20Bertsch%20S.%2c%20Antonio%20J..pdf,,thesis_pdf_all/4690.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
50,4688,2017-01-25,Diseño e implementación de una unidad terminal remota (RTU) que utilice la red de telefonía pública para obtener energía y para la transmisión de los datos,"Salinas C., Alfonzo A.",3.11 MB,http://saber.ucv.ve/handle/10872/14144,http://saber.ucv.ve/bitstream/10872/14144/1/T.E.G.%20completo%20Alfonzo%20A.%20Salinas%20Calder%c3%b3n.pdf,,thesis_pdf_all/4688.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,2017-01-25
