index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor
4068,14-Dec-2015,Automatización de una soldadora de tanques de transformadores utilizando un controlador lógico programable,"Sanabria E., Rafael A.",5.63 MB,http://saber.ucv.ve/handle/10872/13066,http://saber.ucv.ve/bitstream/10872/13066/1/TEG-Sanabria%20E.%20Rafael%20A..pdf,,thesis_pdf_all/4068.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Tamara Perez
4067,14-Dec-2015,Desarrollo de un equipo de características reducidas para la recolección y almacenamiento de datos meteorológicos,"Malavé V, Diego M.",1.3 MB,http://saber.ucv.ve/handle/10872/13067,http://saber.ucv.ve/bitstream/10872/13067/1/2014-01-27%20Tesis%20Diego%20NanoLogger.pdf,,thesis_pdf_all/4067.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Pedro Pinto
533,9-Nov-2011,Propuesta implementación del sistema secundario de una subestación eléctrica tipo NODAL III,"Ravel G., Jean M.",2.51 MB,http://saber.ucv.ve/handle/10872/734,http://saber.ucv.ve/bitstream/10872/734/1/Trabajo%20de%20Grado_Jean-Michel%20Ravel.pdf,,thesis_pdf_all/533.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nicolas Gavotti
578,14-Nov-2011,Uso de los receptores MLSE en las comunicaciones ópticas,"Roffé J., Eugenia",902.99 kB,http://saber.ucv.ve/handle/10872/789,http://saber.ucv.ve/bitstream/10872/789/1/Uso%20de%20los%20receptores%20MLSE%20en%20las%20comunicaciones%20%c3%b3pticas.pdf,,thesis_pdf_all/578.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Paolo Maragno
6987,5-Jun-2018,Elaboración de un prototipo de un sistema simulador de procesos modular con software de visualización de datos para computador,"Escobedo C., Juan A.",5.38 MB,http://saber.ucv.ve/handle/10872/18628,http://saber.ucv.ve/bitstream/10872/18628/1/T.E.G%20ESCOBEDO%20JUAN.pdf,,thesis_pdf_all/6987.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Alejandro Gonzalez
3982,30-Nov-2015,Análisis de confiabilidad operacional en la red de transmisión PDVSA oriente distrito plc,"Martinez, Mary C.",1.34 MB,http://saber.ucv.ve/handle/10872/12951,http://saber.ucv.ve/bitstream/10872/12951/1/TEG%20Mary%20Carmen%20Martinez.pdf,,thesis_pdf_all/3982.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Carlos MorenoTutor
4679,24-Jan-2017,"Implementation of power flow calculations for distribution systems – application to weakly meshed, unbalanced and harmonic cases","Abello R., Elyka",3.94 MB,http://saber.ucv.ve/handle/10872/14111,http://saber.ucv.ve/bitstream/10872/14111/1/TEG%20completo%20Elyka%20Abello%20R..pdf,,thesis_pdf_all/4679.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Gianfranco ChiccoPresentado
518,7-Nov-2011,Diseño de la plataforma para transmisión de señal abierta del canal de televisión de la Asamblea Nacional (ANTV) en el área Metropolitana,"Higuera P., Miguel E.",2.87 MB,http://saber.ucv.ve/handle/10872/727,http://saber.ucv.ve/bitstream/10872/727/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,,thesis_pdf_all/518.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Zeldivar Bruzual
4715,27-Jan-2017,Propuesta de un gestor de bases de datos a través del servicio de mensajes cortos de la red GSM para la dirección de ejecución de obras y conservación ambiental de la Alcaldía de Caracas,"Boyer S., Leonardo J.",1.6 MB,http://saber.ucv.ve/handle/10872/14176,http://saber.ucv.ve/bitstream/10872/14176/1/tesis%20definitivo.pdf,,thesis_pdf_all/4715.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,William Jota
6526,31-Jan-2018,"Estudio de los esquemas y ajustes del sistema de protección de distancia en las líneas de transmisión en el estado Miranda para el nivel de tensión de 115 KV, en base a los eventos ocurridos en el período comprendido desde enero 2012 hasta marzo 2013","Contreras V., Andrés A.",3.23 MB,http://saber.ucv.ve/handle/10872/17671,http://saber.ucv.ve/bitstream/10872/17671/1/T.E.G.%20Contreras%20V.%2c%20Andr%c3%a9s%20A..pdf,,thesis_pdf_all/6526.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Rafael Malpica
7640,13-Jun-2019,Lazarillo electrónico: diseño de un sistema de detección de obstáculos,"López R, Moises A.",2.25 MB,http://saber.ucv.ve/handle/10872/19918,http://saber.ucv.ve/bitstream/10872/19918/1/TEG.pdf,,thesis_pdf_all/7640.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Pedro Pinto
4718,27-Jan-2017,Proyecto de sustitución de protección secundaria líneas: Tacoa-Convento y Boyacá- Convento 230 KV,"Márquez G., Indira",10.78 MB,http://saber.ucv.ve/handle/10872/14179,http://saber.ucv.ve/bitstream/10872/14179/1/T.E.G%20completo%20M%c3%a1rquez%20Garc%c3%ada%2c%20Indira.pdf,,thesis_pdf_all/4718.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Jose Luis Mora
4678,24-Jan-2017,Estudio e implantación de los servicios de dato y voz en la subestación Santa Teresa y despacho de carga central en CORPOELEC-CADAFE,"Lozano M., Sandy",5.31 MB,http://saber.ucv.ve/handle/10872/14112,http://saber.ucv.ve/bitstream/10872/14112/1/TEG%20completa%20Sandy%20Lozano%20M..pdf,,thesis_pdf_all/4678.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Zeldivar Bruzual
6496,22-Jan-2018,Desarrollo de la ingeniería básica extendida de un sistema eléctrico para la refinería batalla de Santa Inés de PDVSA,"Delgado R., Daniel A.",4.13 MB,http://saber.ucv.ve/handle/10872/17571,http://saber.ucv.ve/bitstream/10872/17571/1/TESIS.pdf,,thesis_pdf_all/6496.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nerio Ojeda
8118,30-Sep-2020,"Desarrollo de una herramienta computarizada, para simular ensayos de laboratorio en la medición de parámetros de transmisión y recepción para televisión digital terrestre, bajo el estándar ISDB-T","José D., Gil C.",5.08 MB,http://saber.ucv.ve/handle/10872/20759,http://saber.ucv.ve/bitstream/10872/20759/1/Tesis.pdf,,thesis_pdf_all/8118.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Zeldivar BruzualCaracas
4690,25-Jan-2017,"Selección de dispositivos lógicos programables del tipo “Field Programmable Gate Array” y de la plataforma de soporte, para ser utilizados en las actividades de docencia, investigación y desarrollo de la Escuela de Ingeniería Eléctrica","Bertsch S., Antonio J.",1.95 MB,http://saber.ucv.ve/handle/10872/14137,http://saber.ucv.ve/bitstream/10872/14137/1/T.E.G.%20completo%20Bertsch%20S.%2c%20Antonio%20J..pdf,,thesis_pdf_all/4690.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Nunes F
4682,24-Jan-2017,Diseño de un corrector de factor de potencia trifásico automático,"Mercado R., Alberto J.",6.1 MB,http://saber.ucv.ve/handle/10872/14108,http://saber.ucv.ve/bitstream/10872/14108/1/TEG%20Completo%20Mercado%20R.%2c%20Alberto%20J..pdf,,thesis_pdf_all/4682.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,CARMEN PAHMER
6650,20-Mar-2018,"Diseño de plataforma de seguridad en centro de datos La Colina, caso Corporación Digitel","Sánchez S., Celsa C.",2.69 MB,http://saber.ucv.ve/handle/10872/18009,http://saber.ucv.ve/bitstream/10872/18009/1/Tesis%20PDF.pdf,,thesis_pdf_all/6650.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,CARLOS MORENO
1892,3-Oct-2013,Actualización del sistema de Scada del manipulador de tuberías del taladro de perforación HH-200 de la empresa PETREVEN,"Ferretti, Angel L.",10.21 MB,http://saber.ucv.ve/handle/10872/4293,http://saber.ucv.ve/bitstream/10872/4293/1/Tesis%20000022-2012.pdf,,thesis_pdf_all/1892.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Mercedes ArochaTutor
8121,30-Sep-2020,"Estudio de interconexión de una planta de generación de 50 MW con tecnología solar térmica de concentración, en el sistema eléctrico del Municipio Cruz Salmerón Acosta, del estado Sucre","Nuñez A., Pablo A.",1.95 MB,http://saber.ucv.ve/handle/10872/20762,http://saber.ucv.ve/bitstream/10872/20762/1/Trabajo%20de%20Grado%20Pablo%20Nu%c3%b1ez.pdf,,thesis_pdf_all/8121.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,ING ALEXANDER CEPEDA
4683,24-Jan-2017,Diseño de un tablero eléctrico de control y potencia para sistema de presión constante de 3 bombas iguales de 25HP en 220V,"Rodríguez H., Frank D.",2.67 MB,http://saber.ucv.ve/handle/10872/14107,http://saber.ucv.ve/bitstream/10872/14107/1/TEG%20completo%20Rodr%c3%adguez%20H.%2c%20Frank%20D..pdf,,thesis_pdf_all/4683.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Pedro Pinto
4665,23-Jan-2017,Análisis de eficiencia de convertidores DC/DC para instalaciones basadas en fuente fotovoltaica,"Cabeza F., Francisco J.",2.59 MB,http://saber.ucv.ve/handle/10872/14096,http://saber.ucv.ve/bitstream/10872/14096/1/Trabajo%20de%20Grado.pdf,,thesis_pdf_all/4665.pdf,True,True,False,escuela de ingenieria electrica,Escuela de Ingeniería Eléctrica,Chiara Boccaletti
5147,8-Mar-2017,"Desarrollo de un sistema para la evaluación y diagnóstico de la actividad docente en la Facultad de Ciencias, UCV","Gómez Pérez, Marco Gonzalo; Oviedo Aponte, Mónica Gisela",1.41 MB,http://saber.ucv.ve/handle/10872/15020,http://saber.ucv.ve/bitstream/10872/15020/1/TEG%20con%20acta%20firmada.pdf,,thesis_pdf_all/5147.pdf,True,True,False,escuela de computacion,Escuela de Computación,Eugenio ScaliseCaracas
2758,3-Nov-2014,3D-GRABCUT: GrabCut en Volúmenes empleando programación paralela en el GPU con CUDA.,"Temoche, Pablo E.",4.79 MB,http://saber.ucv.ve/handle/10872/7521,http://saber.ucv.ve/bitstream/10872/7521/1/Tesis%20Pablo%20E.%20Temoche%20Gil.pdf,,thesis_pdf_all/2758.pdf,True,True,False,escuela de computacion,Escuela de Computación,Esmitt Ramirez JCo-tutor
4485,16-Mar-2016,Desarrollo de la funcionalidad “Editor de Íncipits Musicales” para la Biblioteca Virtual Musicológica “Juan Meserón”,"Sans Palacios, Alejandro Antonio",2.35 MB,http://saber.ucv.ve/handle/10872/13727,http://saber.ucv.ve/bitstream/10872/13727/1/TEG%20Alejandro%20Sans.pdf,,thesis_pdf_all/4485.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yusneyi Y Carballo Barrera
