index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,path,isScan,school_simple,school_complex
58,3-Jun-2011,Estado del arte en la determinación de espesores de secciones erosionadas por medio de registros de pozo,"Casal G., Bárbara",3.8 MB,http://saber.ucv.ve/handle/10872/104,http://saber.ucv.ve/bitstream/10872/104/1/Trabajo%20Especial%20de%20Grado.pdf,thesis_pdf/58.pdf,False,"Escuela de Geologia, Minas y Geofisica","Escuela de Geología, Minas y Geofísica"
169,30-Sep-2011,"Programa para prevenir la insuficiencia renal crónica terminal en pacientes diabéticos que acuden a la consulta de Endocrinología del Hospital Manuel Núñez Tovar, Maturín, estado Monagas, año 2005","Bastardo, Onelvys; Gil, Gisela; Rodríguez, Mary",305.67 kB,http://saber.ucv.ve/handle/10872/353,http://saber.ucv.ve/bitstream/10872/353/1/HOSPITAL%20U.C.V.pdf,thesis_pdf/169.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
179,30-Sep-2011,"Necesidad de capacitación del personal ciudador, sobre la atención del anciano institucionalizado en el Hogar 'San José de la Montaña', Maracaibo - Edo. Zulia","Arias, Layra",334.74 kB,http://saber.ucv.ve/handle/10872/352,http://saber.ucv.ve/bitstream/10872/352/1/NECESIDAD%20DE%20CAPACITACION%20DEL%20PERSONAL%20CUIDADOR%2c%20SOBRE%20LA%20ATENCION%20DEL%20ANCIANO%20INSTITUCIONALIZADO.pdf,thesis_pdf/179.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
177,30-Sep-2011,Información que posee el personal de Enfermería sobre el cuidado de la traqueostomía en usuarios hospitalizados en el Servicio de Neurocirugía del Hospital Militar “Dr. Carlos Arvelo” 2do trimestre 2005,"Caraballo, Angui; Isturriaga, Yery",337.14 kB,http://saber.ucv.ve/handle/10872/359,http://saber.ucv.ve/bitstream/10872/359/1/Informacion%20que%20posee%20el%20personal%20de%20enfermeria%20en%20el%20cuidado%20de%20la%20traqueostomia%20en%20usuarios%20hospitalizados%20en%20el%20servicio.pdf,thesis_pdf/177.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
191,30-Sep-2011,"Manejo de desechos sólidos por parte de los habitantes de la comunidad 'El Samán de Urama', estado Carabobo","Blanco, América; Carrillo, Vilmania; Hernandez, Rosa",343.57 kB,http://saber.ucv.ve/handle/10872/320,http://saber.ucv.ve/bitstream/10872/320/1/tesis.pdf,thesis_pdf/191.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
168,30-Sep-2011,"Instrumentos de observación para medir los efectos fisiológicos de la musicoterapia en adolescentes primigestas durante trabajo de parto y parto, Maternidad Concepción Palacios, primer trimestre de 2006","ALCALA, DINORATH; ARTEAGA, ELIBETH",361.14 kB,http://saber.ucv.ve/handle/10872/349,http://saber.ucv.ve/bitstream/10872/349/1/TESIS%20.pdf,thesis_pdf/168.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
140,23-Jun-2011,Diseño y construcción de un sistema de compactación de desechos provenientes de locales de comida rápida,"Ruiz T., Marelys J.
Torres, José R.",368.73 kB,http://saber.ucv.ve/handle/10872/230,http://saber.ucv.ve/bitstream/10872/230/1/TRABAJO%20ESPECIAL%20DE%20GRADO.pdf,thesis_pdf/140.pdf,False,Escuela de Ingenieria Mecanica,Escuela de Ingeniería Mecanica
170,30-Sep-2011,"Factores socioeconómicos asociados a la desnutrición de los niños en edad comprendida entre 0-2 años del Barrio La Constituyente de Maturín, estado Monagas en el 2do trimestre del año 2005","González, Mercedes; Sotillet, Luisa",369.98 kB,http://saber.ucv.ve/handle/10872/338,http://saber.ucv.ve/bitstream/10872/338/1/tesis%20de%20enfermeria%20correciones1.pdf,thesis_pdf/170.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
67,7-Jun-2011,Transformación de acetona sobre catalizadores del tipo Pt/H-[Ga]ZSM5 Y Pd/H-[Ga]ZSM5,"Díaz B., Yraida G.",4.43 MB,http://saber.ucv.ve/handle/10872/119,http://saber.ucv.ve/bitstream/10872/119/1/Trabajo%20Especial%20de%20Grado.pdf,thesis_pdf/67.pdf,False,Escuela de Ingenieria Quimica,Escuela de Ingeniería Química
192,30-Sep-2011,Antecedentes del estrés en el personal de enfermería de la unidad de cuidados intensivos del hospital Adolfo Pons de Maracaibo para el 2do. trimestre del año 2005 .,"LAURA, FLORES",598.2 kB,http://saber.ucv.ve/handle/10872/335,http://saber.ucv.ve/bitstream/10872/335/1/ANTECEDENTES%20DEL%20ESTR%c3%89S%20EN%20EL%20PERSONAL%20DE%20%20ENFERMER%c3%8dA%20%20DE%20LA%20UNIDAD%20DE%20CUIDADOS%20INTENSIVOS%20DEL%20HO.pdf,thesis_pdf/192.pdf,False,escuela de enfermeria,Escuela de Enfermería
175,30-Sep-2011,"Propuesta de un programa educativo sobre la prevención de riesgos laborales dirigido a los profesionales de enfermería del área de sala de parto del Hospital Universitario “Dr. Ángel Larralde” Municipio Naguanagua, Valencia – Edo. Carabobo, año 2.006.","Gómez, Mary; Hornostaj, Johana",392.75 kB,http://saber.ucv.ve/handle/10872/366,http://saber.ucv.ve/bitstream/10872/366/1/tesis%20prevenci%c3%b3n%20de%20riesgos%20laborales.PDF,thesis_pdf/175.pdf,False,ESCUELA DE ENFERMERIA,Escuela de Enfermería
