index,thesis_year,thesis_title,thesis_author,size,thesis_link,pdf_link,resumen,path,exist,isPDF,isScan,school_simple,school_complex,thesis_tutor,path_txt
2642,25-Sep-2014,Implantación de un repositorio institucional de información académica para la UCV.,"Torrealba V., Alexander",1.93 MB,http://saber.ucv.ve/handle/10872/7181,http://saber.ucv.ve/bitstream/10872/7181/1/Documento_827.pdf,,thesis_pdf_all/2642.pdf,True,True,False,escuela de computacion,Escuela de Computación,Robinson Rivas,thesis_txt/2642.txt
2701,23-Oct-2014,Elaboración de un Prototipo de Buscador de Documentos Académicos de la Facultad de Ciencias.,"Sánchez, Jorge I.",2.88 MB,http://saber.ucv.ve/handle/10872/7417,http://saber.ucv.ve/bitstream/10872/7417/1/Tesis%20Jorge%20Ignacio%20S%c3%a1nchez%20Echevarr%c3%ada.pdf,,thesis_pdf_all/2701.pdf,True,True,False,escuela de computacion,Escuela de Computación,Sergio RivasCaracas,thesis_txt/2701.txt
2703,23-Oct-2014,Extensión de un Constructor Molecular para Química Computacional,"Matheus, Eleazar E.",2.9 MB,http://saber.ucv.ve/handle/10872/7407,http://saber.ucv.ve/bitstream/10872/7407/1/Tesis%20Eleazar%20Ernesto%20Matheus%20Camacho.pdf,,thesis_pdf_all/2703.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ernesto Coto,thesis_txt/2703.txt
2740,29-Oct-2014,Minería de textos para la asignación automática de jurados a Trabajos Especiales de Grado,"Torres, Dayana R.",2.99 MB,http://saber.ucv.ve/handle/10872/7495,http://saber.ucv.ve/bitstream/10872/7495/1/Tesis%20Dayana%20Raquel%20Torres%20Navarro.pdf,,thesis_pdf_all/2740.pdf,True,True,False,escuela de computacion,Escuela de Computación,Esmeralda Ramos,thesis_txt/2740.txt
2744,30-Oct-2014,Sistema de gestión de servicios de reservación y control de inventario a través del uso de dispositivos móviles,"Lista, Maricruz",7.06 MB,http://saber.ucv.ve/handle/10872/7496,http://saber.ucv.ve/bitstream/10872/7496/1/Tesis%20Maricruz%20Lista%20Mu%c3%b1oz.pdf,,thesis_pdf_all/2744.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana V Morales B,thesis_txt/2744.txt
2822,20-Nov-2014,Desarrollo de un módulo que permita manejar eventos dentro de los procesos modelados para el prototipo de la aplicación Web de gestión de Procesos Académicos de la Coordinación de Postgrado de la Facultad de Ciencias de la Universidad Central de Venezuela,"Sulbarán, Glendy P.; Pedrozo, Néstor D.",2.77 MB,http://saber.ucv.ve/handle/10872/7688,http://saber.ucv.ve/bitstream/10872/7688/1/Tesis%20Sulbar%c3%a1n-Pedrozo.pdf,,thesis_pdf_all/2822.pdf,True,True,False,escuela de computacion,Escuela de Computación,Andres SanojaCaracas,thesis_txt/2822.txt
2824,20-Nov-2014,Análisis y diseño de una solución VPN entre el campus Caracas de la UCV y sus dependencias extramuros,"Esqueda, Elena
Pérez, Karem",3.07 MB,http://saber.ucv.ve/handle/10872/7694,http://saber.ucv.ve/bitstream/10872/7694/1/Tesis%20Elena%20Esqueda.pdf,,thesis_pdf_all/2824.pdf,True,True,False,escuela de computacion,Escuela de Computación,Karima Velasquez,thesis_txt/2824.txt
2825,20-Nov-2014,Desarrollo de una Herramienta para Verificación de Criterios de Accesibilidad en sitios Web – HEVAC,"Aguilera, Ronald",4.48 MB,http://saber.ucv.ve/handle/10872/7684,http://saber.ucv.ve/bitstream/10872/7684/1/Tesis%20Ronald%20de%20Jes%c3%bas%20Aguilera%20Gonz%c3%a1lez.pdf,,thesis_pdf_all/2825.pdf,True,True,False,escuela de computacion,Escuela de Computación,Yusneyi Yasmira Carballo Barrera,thesis_txt/2825.txt
2798,17-Nov-2014,Sistema automatizado para la gestión de solicitudes en tecnologías de información,"Rodríguez, Katherina A.; Hernández, Sergio D.",2.23 MB,http://saber.ucv.ve/handle/10872/7642,http://saber.ucv.ve/bitstream/10872/7642/1/Tesis%20Rodr%c3%adguez-Hern%c3%a1ndez.pdf,,thesis_pdf_all/2798.pdf,True,True,False,escuela de computacion,Escuela de Computación,Ana Morales,thesis_txt/2798.txt
2796,17-Nov-2014,Desarrollo de un generador de sitios web para la visualización de ontologías,"Camacho, Eduardo",1.92 MB,http://saber.ucv.ve/handle/10872/7640,http://saber.ucv.ve/bitstream/10872/7640/1/Tesis%20Eduardo%20Camacho.pdf,,thesis_pdf_all/2796.pdf,True,True,False,escuela de computacion,Escuela de Computación,Haydemar Nunez,thesis_txt/2796.txt
